ds,y
2025-07-01 02:00:00,0.16531
2025-07-01 02:15:00,0.16471
2025-07-01 02:30:00,0.16513
2025-07-01 02:45:00,0.16531
2025-07-01 03:00:00,0.16594
2025-07-01 03:15:00,0.16571
2025-07-01 03:30:00,0.16557
2025-07-01 03:45:00,0.16507
2025-07-01 04:00:00,0.16505
2025-07-01 04:15:00,0.16542
2025-07-01 04:30:00,0.16462
2025-07-01 04:45:00,0.16418
2025-07-01 05:00:00,0.16419
2025-07-01 05:15:00,0.16488
2025-07-01 05:30:00,0.16468
2025-07-01 05:45:00,0.16486
2025-07-01 06:00:00,0.16457
2025-07-01 06:15:00,0.16414
2025-07-01 06:30:00,0.16398
2025-07-01 06:45:00,0.16307
2025-07-01 07:00:00,0.16266
2025-07-01 07:15:00,0.16219
2025-07-01 07:30:00,0.16242
2025-07-01 07:45:00,0.16266
2025-07-01 08:00:00,0.16234
2025-07-01 08:15:00,0.16254
2025-07-01 08:30:00,0.16294
2025-07-01 08:45:00,0.1629
2025-07-01 09:00:00,0.16266
2025-07-01 09:15:00,0.16235
2025-07-01 09:30:00,0.16218
2025-07-01 09:45:00,0.16245
2025-07-01 10:00:00,0.16174
2025-07-01 10:15:00,0.16153
2025-07-01 10:30:00,0.16102
2025-07-01 10:45:00,0.16084
2025-07-01 11:00:00,0.16105
2025-07-01 11:15:00,0.16102
2025-07-01 11:30:00,0.16098
2025-07-01 11:45:00,0.16126
2025-07-01 12:00:00,0.16119
2025-07-01 12:15:00,0.16121
2025-07-01 12:30:00,0.16123
2025-07-01 12:45:00,0.16147
2025-07-01 13:00:00,0.16089
2025-07-01 13:15:00,0.16114
2025-07-01 13:30:00,0.1612
2025-07-01 13:45:00,0.16075
2025-07-01 14:00:00,0.16056
2025-07-01 14:15:00,0.16013
2025-07-01 14:30:00,0.16013
2025-07-01 14:45:00,0.15997
2025-07-01 15:00:00,0.15945
2025-07-01 15:15:00,0.15967
2025-07-01 15:30:00,0.15892
2025-07-01 15:45:00,0.15986
2025-07-01 16:00:00,0.16027
2025-07-01 16:15:00,0.15869
2025-07-01 16:30:00,0.15895
2025-07-01 16:45:00,0.15928
2025-07-01 17:00:00,0.15906
2025-07-01 17:15:00,0.15942
2025-07-01 17:30:00,0.15909
2025-07-01 17:45:00,0.15927
2025-07-01 18:00:00,0.15972
2025-07-01 18:15:00,0.15931
2025-07-01 18:30:00,0.15924
2025-07-01 18:45:00,0.15936
2025-07-01 19:00:00,0.15927
2025-07-01 19:15:00,0.15914
2025-07-01 19:30:00,0.1592
2025-07-01 19:45:00,0.15939
2025-07-01 20:00:00,0.15916
2025-07-01 20:15:00,0.15811
2025-07-01 20:30:00,0.15839
2025-07-01 20:45:00,0.15788
2025-07-01 21:00:00,0.15844
2025-07-01 21:15:00,0.15846
2025-07-01 21:30:00,0.15818
2025-07-01 21:45:00,0.15789
2025-07-01 22:00:00,0.15746
2025-07-01 22:15:00,0.15812
2025-07-01 22:30:00,0.15837
2025-07-01 22:45:00,0.15834
2025-07-01 23:00:00,0.15792
2025-07-01 23:15:00,0.15856
2025-07-01 23:30:00,0.1584
2025-07-01 23:45:00,0.15826
2025-07-02 00:00:00,0.15792
2025-07-02 00:15:00,0.15757
2025-07-02 00:30:00,0.15798
2025-07-02 00:45:00,0.15753
2025-07-02 01:00:00,0.15693
2025-07-02 01:15:00,0.15726
2025-07-02 01:30:00,0.15744
2025-07-02 01:45:00,0.1577
2025-07-02 02:00:00,0.15794
2025-07-02 02:15:00,0.15803
2025-07-02 02:30:00,0.15824
2025-07-02 02:45:00,0.15768
2025-07-02 03:00:00,0.15761
2025-07-02 03:15:00,0.15837
2025-07-02 03:30:00,0.1587
2025-07-02 03:45:00,0.15865
2025-07-02 04:00:00,0.15831
2025-07-02 04:15:00,0.15853
2025-07-02 04:30:00,0.15821
2025-07-02 04:45:00,0.15844
2025-07-02 05:00:00,0.15895
2025-07-02 05:15:00,0.15932
2025-07-02 05:30:00,0.15928
2025-07-02 05:45:00,0.15935
2025-07-02 06:00:00,0.15944
2025-07-02 06:15:00,0.15972
2025-07-02 06:30:00,0.15963
2025-07-02 06:45:00,0.16036
2025-07-02 07:00:00,0.16001
2025-07-02 07:15:00,0.16025
2025-07-02 07:30:00,0.16049
2025-07-02 07:45:00,0.16064
2025-07-02 08:00:00,0.16092
2025-07-02 08:15:00,0.16047
2025-07-02 08:30:00,0.16115
2025-07-02 08:45:00,0.16142
2025-07-02 09:00:00,0.1611
2025-07-02 09:15:00,0.16092
2025-07-02 09:30:00,0.16111
2025-07-02 09:45:00,0.16079
2025-07-02 10:00:00,0.16128
2025-07-02 10:15:00,0.16159
2025-07-02 10:30:00,0.16168
2025-07-02 10:45:00,0.16137
2025-07-02 11:00:00,0.16144
2025-07-02 11:15:00,0.16113
2025-07-02 11:30:00,0.16124
2025-07-02 11:45:00,0.16097
2025-07-02 12:00:00,0.16098
